Compiling model graph
   Resolving undeclared variables
   Allocating nodes
Graph information:
   Observed stochastic nodes: 3
   Unobserved stochastic nodes: 5
   Total graph size: 37

Initializing model

NOTE: Stopping adaptation


$coda
[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 10001 
End = 60000 
Thinning interval = 1 
                  X[1]       X[2]      X[3]      theta[1]      theta[2]
    [1,]  2.264777e+01 29.6393689 47.723111 -2.057278e+00  8.037589e-02
    [2,]  2.292863e+01 27.5566359 60.749373 -2.379671e+00  8.352430e-02
    [3,]  2.341835e+01 29.5000248 26.472862 -1.930412e+00  8.321135e-02
    [4,]  2.379723e+01 30.0247163 28.625933 -1.988106e+00  9.192159e-02
    [5,]  1.326314e+01 23.6578941 31.115983 -1.715084e+00  8.793057e-02
    [6,]  1.214200e+01 27.2632304 36.804519 -1.993402e+00  1.018531e-01
    [7,]  1.663433e+01 21.9771487 25.657867 -1.982055e+00  9.553074e-02
    [8,]  2.010584e+01 18.1739769 30.687807 -1.877336e+00  9.151871e-02
    [9,]  1.406631e+01 28.7196822 35.147931 -1.856708e+00  7.952953e-02
   [10,]  2.629234e+01 23.8536817 32.987521 -1.936700e+00  7.185059e-02
   [11,]  2.334233e+01 36.7237699 42.317370 -1.999645e+00  6.993061e-02
   [12,]  2.184849e+01 32.8254245 43.913045 -1.740990e+00  6.789562e-02
   [13,]  1.652726e+01 31.9989076 36.701615 -1.597424e+00  6.214104e-02
   [14,]  1.383060e+01 35.6594326 52.322921 -1.622085e+00  6.261645e-02
   [15,]  1.486021e+01 25.2130288 39.093775 -1.645732e+00  5.978162e-02
   [16,]  1.588140e+01 37.8870245 40.599914 -1.553716e+00  6.752895e-02
   [17,]  1.861608e+01 38.3039565 43.860865 -1.733094e+00  6.054217e-02
   [18,]  1.828320e+01 26.4585650 46.032559 -1.074391e+00  6.158841e-02
   [19,]  9.983292e+00 22.2989055 44.057032 -1.046574e+00  5.954816e-02
   [20,]  1.410250e+01 19.9584142 29.059108 -9.944581e-01  6.778789e-02
   [21,]  1.477683e+01 25.2831125 28.766091 -1.139712e+00  7.487078e-02
   [22,]  1.284150e+01 16.3875645 35.001750 -9.153379e-01  7.378726e-02
   [23,]  1.266955e+01 17.0374008 34.290704 -1.032628e+00  4.486862e-02
   [24,]  1.624335e+01 29.7541521 36.880906 -9.254930e-01  4.333496e-02
   [25,]  1.777139e+01 24.7335855 37.120605 -8.083074e-01  3.856168e-02
   [26,]  8.753029e+00 23.9690374 34.152827 -5.535876e-01  4.609333e-02
   [27,]  9.099455e+00 20.1962034 33.860233 -7.991239e-01  6.100454e-02
   [28,]  8.556478e+00 25.8165514 29.053537 -1.027845e+00  6.674910e-02
   [29,]  1.371090e+01 28.1892687 34.674569 -1.670014e+00  7.031473e-02
   [30,]  1.811762e+01 25.8592181 40.654360 -1.572868e+00  6.548266e-02
   [31,]  1.674527e+01 36.3528808 35.582851 -1.291655e+00  5.080982e-02
   [32,]  2.068311e+01 43.5564802 56.394966 -1.524214e+00  5.494913e-02
   [33,]  2.005800e+01 18.0794339 60.893039 -1.467744e+00  6.200320e-02
   [34,]  2.214610e+01 16.8987007 64.381267 -1.165973e+00  5.645927e-02
   [35,]  1.481581e+01 23.9133748 26.480760 -1.017307e+00  5.855738e-02
   [36,]  1.293702e+01 25.0823050 34.824168 -9.384403e-01  5.887377e-02
   [37,]  7.268968e+00 24.4104872 32.833553 -8.654870e-01  4.924657e-02
   [38,]  1.470036e+01 29.6779589 42.999310 -1.435296e+00  5.351805e-02
   [39,]  1.513297e+01 24.2600827 50.969375 -1.137059e+00  5.071043e-02
   [40,]  1.562224e+01 24.3099957 25.149305 -3.450164e-01  4.616988e-02
   [41,] -2.460502e+00 18.6904773 25.304636 -2.314199e-01  4.850182e-02
   [42,] -4.439229e+00 19.1832495 24.585256 -6.940915e-02  4.544207e-02
   [43,] -5.699484e+00 12.7908373 36.727003 -9.030715e-02  3.180572e-02
   [44,] -5.177909e+00 25.2093426 23.337891 -2.087836e-01  4.079320e-02
   [45,] -5.149151e+00 21.3403760 21.373468  8.260211e-02  3.563395e-02
   [46,] -2.662378e+00 17.3429596 21.293988  1.001045e-01  3.273262e-02
